Title,Intro Text,Authors,Article Text,Date Published
 Liz Truss ‘will approve more oil drilling if she becomes PM’,"Tory leadership candidate criticised by campaigners after reports her team have met energy firms

Politics live – latest updates
","['Rob Davies', '@ByRobDavies']","Liz Truss will sign off on a push for more oil drilling in the North Sea if she wins the Conservative leadership election, according to reports, drawing criticism from environmental campaigners.Amid mounting public dismay about soaring energy bills, Truss’s policy advisers are thought to be discussing proposals to issue up to 130 new drilling licences, which typically take nearly three decades to produce any oil and gas.The business secretary, Kwasi Kwarteng, and the Brexit opportunities minister, Jacob Rees-Mogg, have been meeting oil and gas firms to discuss how to secure energy supplies this winter, the Times reported.Truss’s plans to slash VAT are ‘regressive and flawed’, says Sunak’s teamRead moreThe discussions reportedly involve importing more gas from Norway in the short term, while ramping up domestic production. The climate change committee has previously said it takes an average of 28 years for an exploration licence to lead to oil and gas production.The Greenpeace chief UK scientist, Dr Doug Parr, said intensifying North Sea drilling would do little to bring down energy bills.“Unleashing a North Sea drilling frenzy isn’t a plan to help bill payers but a gift to the fossil fuel giants already making billions from this crisis,” he said.“New oil and gas could take a quarter of a century to pump out, will be eventually sold at global prices, and have no real impact on energy bills yet still fuel the climate crisis.”He said the UK’s dependence on gas was among the factors driving up bills and called for faster action to promote new wind and solar projects, as well as improving energy efficiency by insulating UK homes, which are among the leakiest in Europe.Sign up to the daily Business Today email or follow Guardian Business on Twitter at @BusinessDeskHe added: “If Liz Truss really wants to help cash-strapped households, she should bring in an energy bill freeze alongside extra financial support for the poorest households, partly funded by properly taxing the astronomical profits of oil and gas companies.”Truss’s North Sea plan comes against the backdrop of a continent-wide scramble to secure gas supplies before the winter, after Vladimir Putin began choking off pipeline flows amid a geopolitical standoff over his invasion of Ukraine.The UK relies more heavily on gas than most European countries and has very little storage after the closure of the Rough facility off the Yorkshire coast in 2017. Labour has previously called on Truss to explain her part in the government’s acquiescence to the closure of Rough.",2022-08-30
Renewed Highland golf course plan has environmentalists crying 'Fore!',Scottish government rejected a new links at Coul to protect the complex dune system but investors have revived the scheme,"['Ewan Murray', '@mrewanmurray']","It is an area so tranquil that the notion of bitter dispute is hugely anomalous. The serenity of Coul - in east Sutherland, north of Dornoch – is in fact fundamental to a backdrop of unrest.When the Scottish government rejected a plan for a golf course at Coul early last year, it appeared those with grand plans had nowhere else to turn. This marked a victory for environmentalists who argued one of the most complex dune systems in Scotland and a site of special scientific interest (SSSI) should not be compromised. “The harmful impacts to protected habitats and species would outweigh the potential socio-economic benefits,” said Kevin Stewart, then planning minister. Anne McCall, the director of RSPB Scotland, said: “These damaging proposals threatened a site of global importance for nature and should never have made it this far.”The rich v the very, very rich: the rebellion at Wentworth golf clubRead moreWith American investors key to the project, comparisons were not unreasonably – if unhelpfully to those pursuing a golf course – drawn with Donald Trump’s controversial development in Aberdeenshire. One glance across social media illustrates the depth of feeling attached to Coul and acrimony as attached. One golfer’s paradise is someone else’s idea of vandalism on sacred land.Unbowed, a group of individuals want to bring Coul Links back before the planners. Edward Abel Smith, a London-based landowner, is working in conjunction with the newly formed Communities for Coul. He now wants to build an eco-friendly hotel and will, should planning be granted, hand over his territory for 18 holes at a long-term peppercorn rent. The multimillion dollar question, though, is why this scheme will succeed now when the previous one in early 2020 so publicly failed?“I wouldn’t say we are confident but we feel strongly about the overall benefits that the development would bring,” says Communities for Coul’s Gordon Sutherland. “We want this golf course as a catalyst for economic development. The number of jobs forecast are calculated by businesses prepared to invest; there is almost £50m of private investment lined up and 180 jobs, 108 of which would be full-time.“It would be such an important thing for this area, which had a decreasing population and ageing demographic even before Covid. It’s even more important now to create jobs in this area. We are prepared to fail but we will do everything we can to succeed.”Several developers are interested in this scheme but, once again, it hinges on planning consent. It will be several months before a new application is submitted. Abel Smith admits he is currently presiding over a “loss-making farm”. The issue is, protected links land adjacent to the farm is fundamental for a renowned golf course. “The land has been in my family for a long time,” he says. “I genuinely believe the course is the best option for the area, whilst admitting my vested interest by way of the hotel. I will go as far as the community take this. I don’t see there being other options to benefit the land, the area or the environment in any comparable way.”Highland councillors have previously offered heavy backing. The appetite within Sutherland for the golf course appears strong. “Of the 90,000 or so who signed the online petition against the [rejected] development, less than 0.15% live within the IV25 postcode,” say Communities for Coul. Sutherland adds: “We feel the vast majority of people who live locally support this.” Politically, the prominence or otherwise of the Scottish Greens after upcoming elections could be significant.That Tom Dargie, an ecologist and the chair of Not Coul sits in the opposite camp to Sutherland and Abel Smith feels like gross understatement. Dargie had previously estimated the loss of 48 hectares of dune habitat, should the course go ahead.“As before, sound economics with decent science and respect for protected land are awol from the Coul golf revival plan,” Dargie insists. “Not Coul individuals, possibly with new objectives under a new name, want to campaign for community-led management of all protected wildlife and habitats at Coul Links. We want to enable a vibrant, dynamic, golf-free and self-functioning dune ecosystem, with community initiatives involving many nearby, outside designated land. In short we seek respectful change and living-wage jobs approved by the majority in our community whilst doing no damage to our local supposedly protected environment.”Dargie believes precious little has changed between the rejection of the previous plan and the arrival of Communities for Coul. He adds: “Much is being made in the press of damage to the local economy from Covid-19 lockdown and Brexit but those claims lack substance and are without proven information on local severe effects which are worse than elsewhere in Scotland. Instead, based on the local business results from the restricted 2020 staycation summer, other unquoted local business people feel our economy here will likely boom in staycation 2021 because it is already geared to family tourism, couples and golf on really excellent courses.” True though that may be, it of course ignores the longer term.Where Dargie and Abel Smith do agree is on the poor and overgrown condition of a protected site due to no management plan being in place with NatureScot, previously Scottish Natural Heritage. “I have a productive relationship with NatureScot,” adds Abel Smith. “But they are incredibly stretched.“I haven’t deliberately neglected the land. I would love to see it protected and looked after properly. In my view a golf course is the best way to do that; it takes up a small area and would provide capital to maintain the rest of the SSSI.”Sign up to The Recap, our weekly email of editors’ picks.In nearby Royal Dornoch, Sutherland houses one of the finest golf venues in the world. Its vice-captain, the professor of economics David Bell, has sent a letter to the local MP, Jamie Stone, regarding golf and the post-pandemic scene. “The golf courses around the Dornoch Firth can play a vital role in recovery from what has been the most devastating economic collapse to affect this area, possibly since the Clearances [eviction of Highland tenants in the 18th and 19th centuries],” says Bell. “The golf industry provides vital employment, allowing younger people to stay in the area. This is particularly important in Sutherland, which faces serious demographic decline. By 2040, its population is likely to be around half of what it was at the time of the Clearances. Highland Council’s own estimates show Sutherland’s population declining by 10.7% between 2021 and 2041.”Dornoch, just like the neighbouring and excellent courses at Golspie, Tain and Brora would benefit from increased footfall. In short, the economic argument here is compelling. Whether that is sufficient to circumvent lingering and deep environmental concerns remains to be seen.",2021-03-22
" Visiting green spaces deters mental health drug use, researchers find","Positive effects were stronger among those reporting the lowest annual household income, says Finnish study","['Damien Gayle', '@damiengayle']","Visits to parks, community gardens and other urban green spaces may lower city dwellers’ use of drugs for anxiety, insomnia, depression, high blood pressure, and asthma, research has found.Researchers in Finland found that visiting such areas three to four times a week cuts people’s chances of turning to drugs for mental health problems or high blood pressure by a third, and for asthma by about a quarter.Moreover, the positive effects of visiting green spaces were stronger among those reporting the lowest annual household income, the researchers found.Scientist enlists pupils to see how hedges can make greener schoolsRead moreThe findings correlate with a growing body of evidence that a lack of access to green spaces is linked to a range of health problems. Access tends to be unequal, with poorer communities having fewer opportunities to be in nature.To investigate the link, researchers from the Finnish Institute for Health and Welfare drew on the responses of 16,000 randomly selected residents of Helsinki, Espoo and Vantaa – three cities that make up the largest urban area in Finland – to the Helsinki capital region environmental health survey in 2015-16.The survey gathered information on how city dwellers aged at least 25 experienced residential green and blue spaces within a 1km (0.62-mile) radius of their homes. Green areas included forests, gardens, parks, castle parks, cemeteries, zoos, natural grasslands, moors and wetlands; and blue areas included sea, lakes, and rivers.Respondents were asked to report their use of prescribed drugs for anxiety, insomnia and depression, and for high blood pressure and asthma. They were then asked how often they spent time or exercised outdoors in green spaces, during May and September, with options ranging from never to five or more times a week.The researchers chose prescription drugs as a proxy for ill health. They picked those for anxiety, insomnia and depression, and high blood pressure and asthma in particular because they are used to treat common but potentially serious health issues.They found a strong correlation between visits to green spaces and lower odds of using such drugs. Compared with less than one weekly visit, visiting three to four times weekly was associated with 33% lower odds of using mental health drugs, 36% lower odds of using blood pressure drugs, and 26% lower odds of using asthma drugs.skip past newsletter promotionSign up to First EditionFree daily newsletterOur morning email breaks down the key stories of the day, telling you what’s happening and why it mattersEnter your email address Enter your email address Sign upPrivacy Notice: Newsletters may contain info about charities, online ads, and content funded by outside parties. For more information see our Privacy Policy. We use Google reCaptcha to protect our website and the Google Privacy Policy and Terms of Service apply.after newsletter promotionCuriously, however, those who visited green spaces at least five times a week were only 22% less likely to be using mental health drugs, and 24% less likely to be using asthma medications. Increased frequency did however correlate to lower odds of needing blood pressure drugs, with 41% lower probability than someone visiting less than once a week.“Mounting scientific evidence supporting the health benefits of nature exposure is likely to increase the supply of high-quality green spaces in urban environments and promote their active use,” the researchers wrote. “This might be one way to improve health and welfare in cities.”Their research is published online in the journal Occupational & Environmental Medicine.",2023-01-17
Bought too much red cabbage? Turn it into a festive nut roast – recipe,This fantastic vegan centrepiece makes full use of those outer cabbage leaves that all too often just get thrown away,['Tom Hunt'],"I devised today’s nut roast for Oddbox, a veg box outfit that supports farmers by buying wonky fruit and veg that they might otherwise find hard to shift. It’s moist, flavourful and a fun use for outer cabbage leaves, which often get thrown away; it’s also a wonderful vegan centrepiece for a celebratory table.Chest-nut roastThe outer leaves from a cabbage, which are all too often pulled off and discarded, are the ideal tool for wrapping a nut roast, and help keep the filling moist. Nut roast can sometimes be a little dry and unsatisfying, but this version, featuring chestnuts, has a lovely, moist texture and tastes meaty and satisfying because of thesage, nutmeg and Marmite; inspired by recipes for vegan haggis, I’ve also added barley and lentils.Although delicious when fresh, I think it’s even better if made a couple of days in advance, giving it time to set firmly and for the flavours to develop as they mingle. Once baked, it will keep in the fridge for up to five days, or freeze indefinitely (defrost in the fridge overnight). Reheat at 190C (170C fan)/375F/gas 5 for 30 minutes, until piping hot right through.If you have any leftovers, turn them into a rich soup: finely chop the red cabbage casing, then add to a pan with the crumbled up filling and enough boiling water to create a thick soup. Return to a boil, then serve.Prep 1 hrCook 1 hr 35 minServes 4-62 tbsp olive oil, plus extra for greasing2 shallots, peeled and finely diced (about 140g)1 rainbow carrot, grated with the skin on (about 140g)180g cooked and peeled chestnuts, roughly chopped2 garlic cloves, peeled and crushed40g sunflower seeds1 tsp thyme leaves½ tbsp chopped sage leaves1 tsp ground coriander¼ tsp nutmeg50g black or green lentils50g pearl barley, or rice2 tsp Marmite40g pinhead oats, or rolled oats40g ground almondsSea salt and black pepper4-5 outer red cabbage leavesPut the olive oil in a pan on medium heat, then saute the shallots and grated carrot for 10 minutes. Stir in the chestnuts, garlic, sunflower seeds, thyme, sage, ground coriander and nutmeg, then add the lentils and pearl barley. Stir in the Marmite and 350ml water, cover, bring up to a boil, then turn down to a simmer and cook for 35 minutes, or until the barley and lentils are very tender and the texture is like a dry risotto. Stir in the oats and almonds, then season generously.Meanwhile, in a large pan of boiling water, blanch the red cabbage leaves for five minutes, then drain.Grease a 1kg bread tin or enamel dish with olive oil, then line it with the cabbage leaves, making sure they overlap. Tightly pack the chestnut mixture into the cabbage-lined vessel, then fold the overhanging leaves over the top, so sealing the filling inside. Bake in a 200C (180C fan)/390F/gas 6 oven for 45 minutes, then remove and leave to settle and rest for at least five minutes. Carefully turn out on to a serving board, then take to the table, slice and serve with all the Christmas trimmings.",2023-12-22
‘This year has been very good’: readers’ UK butterfly sightings,"Readers share their favourite sightings over the summer, after news that numbers have risen since last year

UK butterfly numbers bounce back after last year’s all-time low
",['Guardian readers'],"‘Constant companions to our gardening’A peacock butterfly perched on a yellow ragwort, pictured on 9 August. Photograph: Guardian communityWe try to encourage as many pollinators as possible to visit our allotment. As well as growing lots of fruit and veg we have planted many different flowers. Across the summer we saw some unusual moths, such as the ghost moth, and then from August onwards the butterflies started to appear. We mostly spotted red admiral, peacock and small tortoiseshell butterflies. They particularly liked the cosmos and the corn marigolds. They also liked the ragwort, which later had cinnabar moth caterpillars. On sunny days they were constant companions to our gardening. Although we have seen large white butterflies, too, we don’t seem to have had any problems with caterpillars eating our veg. This may be beginner’s luck. Jess and Ian, Scottish Borders ‘I was delighted by the numbers of butterflies’A brown argus butterfly, pictured on 17 July. Photograph: Allan Ferguson/Guardian communityI allowed the grass on the lawn to the front of my house to grow and I planted some wild flowers into it, field scabious, knapweed, bird’s foot trefoil and meadow cranesbill among others. I was delighted by the numbers of butterflies that came to nectar on the flowers, there were lots of meadow browns, gatekeepers, common blues, large and small whites – but I was especially pleased to see about a dozen brown argus, which took up home here for most of July and August. I have been searching for their eggs or caterpillars on the cranesbills, so far without success, but I shall keep looking as it would be nice to know whether they are breeding here. Allan Ferguson, Bishops Stortford, Hertfordshire ‘I was lucky enough to see 11 different species’Marie’s sightings at RSPB Minsmere on 16 July. Photograph: Marie Baynham-Davies/Guardian communityOver the summer I went to RSPB Minsmere, mainly to look for rare bird species, but on one visit on 16 July I was lucky enough to see 11 different species of butterfly. I sadly didn’t see a small tortoiseshell all summer, though, which used to be one of the most common to spot. Most of the butterflies were on or near nettles and brambles, showing the importance of leaving wild parts in gardens.The rarest of those 11 species is probably the white admiral (top right, circled in red). It’s only the second time I’ve seen one, so I was really happy. I believe the silver-washed fritillary is fairly common, if you know where to look, but I’ve never had one in my garden so it was exciting to see it, too. My favourite is the peacock, bottom right. It’s one of the more common butterflies but so beautiful; it looks tropical and exotic. Marie Baynham-Davies, Halesworth, Suffolk ‘At least a dozen red admirals at one time’A red admiral spotted on Sean’s fig tree on 11 September. Photograph: Sean O’Sullivan/Guardian communityA comma butterfly, pictured on 8 September 2023. Photograph: Sean O’Sullivan/Guardian communityOur fig tree has had a bumper crop this year. We were away for a week visiting family and found that quite a lot of the ripe fruit had gone beyond the ideal picking stage, and insects such as tiny flies and wood lice had begun to feast on them. Most notable, though, was the profusion of wasps and red admiral butterflies gorging themselves on the very overripe fruits. They were often sharing the same single fruit, and from time to time flying around before settling back on that same one or elsewhere in the tree.We’ve still been able to pick more than enough for ourselves and to give to friends, so it’s been a real treat to share so much with the insects this year. There must have been at least a dozen red admirals at one time, and a few speckled woods trying to chase them away. I also saw one comma. Sean O’Sullivan, Banbury, Oxfordshire ‘It has certainly been a good year’A painted lady on Verbena bonariensis, pictured on 12 September. Photograph: Sally Twiss/Guardian communityIt has certainly been a good year for butterflies in our south-facing garden: we’ve seen red admiral, peacock, gatekeeper and various whites in numbers. Comma, small tortoiseshell, brimstone, speckled wood, orange tip and dark green fritillary (also hummingbird hawk moths) were also present. They were attracted by plenty of nectar-rich flowers and food plants, such as nettles and hedge garlic. Sally Twiss, the Blackdown Hills, south-west England ‘A very rare sighting’The Camberwell beauty, photographed on 18 July.We saw a Camberwell beauty in our garden on 18 July at 11.58am. We took it at a distance so as not to disturb it. We reported the sighting to the Dorset Butterfly Conservation organisation and the photograph was published on their gallery. It is my understanding that a Camberwell beauty is a very rare sighting as there is no evidence that it breeds in this country. Geoff Pike, 70, Dorset ‘They are plentiful in our area’A marbled white butterfly on Ventnor Down on 8 July 2023. Photograph: Guardian communityThis photo of a marbled white butterfly was taken on Ventnor Down on 8 July 2023. On the same day I also saw a small copper, common blue and a six-spot burnet moth. In my view, this year has been very good for butterflies as they are plentiful in our area. We live adjacent to downland so we are well placed to observe wildlife. Vanessa Verey, Ventnor, Isle of Wight ",2023-12-19
"Country diary: Willow tits are here, but good luck with seeing one","Tittesworth Reservoir, Staffordshire: It’s easy to see why these wonderful but maddeningly elusive birds have inspired great poetry",['Mark Cocker'],"The numerous bird feeders here are permanently stocked and flocked around by garden birds. Long-tailed, blue, coal and great tits pop up every second or so; and sparrows come and go with goldfinches, while reed buntings and nuthatches slip in and out among the gaps. But the briefest, most maddening, if most wonderful of all, are the willow tits.I see them usually not as they arrive, but as they leave. They zip in, but intermittently and invariably when you’ve dropped your guard. Again! All they gift you is a mean, hard, visiting call – the driest avian sound in Britain – an invertebrate Zi zi taah taah, like the small complaint of an angry insect.Despite willow tits retaining wide breeding presence through middle England, most people never see them, partly because this verve-filled fidget is so elusive, but also because it has an identical twin – the marsh tit. Almost all features said to be diagnostic of one or the other I have recorded on the wrong species. They’re so alike that not a single Briton twigged there were two black-capped, caramel-backed tits here, until two German ornithologists put us all straight in 1911.Alas for us, this never-you-see-me bird is going again. Willow tits have declined by 94% since 1970 and half of its old range is now blank. Yet continental willow tits recur throughout Eurasia’s woodlands from Amsterdam to Vladivostok. So does it matter? It matters to the poet Steve Ely, who dedicated the slenderest volume to the willow tit with his wonderful pamphlet Zi-zi Taah Taah Taah. Few British birds, except Ted Hughes’ mythopoeic Crow perhaps, are so honoured with poetry that is so densely allusive yet of such thematic grandeur. It is a sort of Waste Land for the willow tit.Try to see the beast and you’ll know why Ely wrote with such passion and why willow tits so deserve a place in our poetry and our land. But the best spot I know to do it is here, where the strange, disconcerting context makes it seem like meeting a small beloved god – say, Vincent van Gogh – in the queue at McDonald’s. Country Diary is on Twitter at @gdncountrydiary",2022-04-05
 Scaly stowaway: lizard makes an appearance at Chelsea flower show,Gardeners at the Yeo Valley Organic display were delighted to find the common brown lizard in a pile of logs,['Helena Horton'],"Visitors to Chelsea flower show come from all over the country, and range from senior royals to interested gardeners looking for some new plants.This year, however, there has been a rather special guest – a common brown lizard. Gardeners at the Yeo Valley Organic display were delighted to find him in a pile of logs.In the past, Chelsea was known as a showcase of perfectly manicured lawns and prize-winning blooms in symmetrical flower beds. But there is now a clear trend towards nature-friendly gardening. This has been somewhat controversial, with veteran gardeners including the Royal Horticultural Society rose expert Charles Quest-Ritson arguing that people do not attend flower shows to see piles of logs and patches of nettles. He believes prizes should not be given for “weeds”.But Quest-Ritson is in the minority, and this year’s show features multitudes of nature and eco-friendly gardens including a Cop26 garden and a woodland planting supported by Prince Charles, which urges visitors to “plant a tree for the Queen”.Late flowering: the Chelsea flower show is finally back – but what will it look like in autumn?Read moreYeo Valley Organic’s garden is built to attract amphibians and reptiles, as well as pollinators and insects. It seems to have achieved that aim, with the lizard making himself at home in the log pile.Sarah Mead, who created the Yeo Valley Organic garden, which is a permanent fixture at the company’s farm in Somerset, said there had been a discussion about whether the lizard had hitchhiked from the farm, where materials from the original garden were transported for the mini Chelsea version, or whether had it crawled in as a rare example of a London lizard.She said: “It’s definitely a common brown lizard – there are lots of them in the West Country so we are sure it came down from Yeo Valley in Somerset among the stone that was transported from the farm, but it’s made itself quite at home here.“As lizards are cold-blooded, they like the stone – it’s Mendip stone they’ve brought up from the dry stone walls on the farm, so a perfect environment for lizards, cool with lots of nooks and crannies. Lizards are just one example of the rich biodiversity at Yeo Valley, where they do everything to encourage wildlife.”Common lizards are found across the country, but their numbers are declining because of habitat loss. They thrive in grassland and moorland, as well as the edges of woodlands.The gardeners have enlisted experts from the Wildlife Trusts to help them keep the lizard comfortable at the busy show and teach them more about it.Features of the Somerset garden recreated at Chelsea include an open perennial meadow with flowering plants and a glade of silver birch. The design also features charred logs used as garden markers and rammed earth walls as boundaries, both highlighting the importance of soil health. The garden is designed to show how to create a beautiful and peaceful space that encourages nature and has soil health in mind. Tom Massey, who with the help of Mead designed the show garden, said: “The soil plays a pivotal role in our fight to reverse climate change but the world of microscopic activity under our feet is often overlooked. Carbon is the building block of all life and as gardeners we need to be reminded of the role we play in locking carbon into the soil, where it can help sustain life for generations to come. We want to create a beautiful garden that inspires visitors to think about using more sustainable gardening practices.” This article was amended on 29 September 2021 to remove a mistaken reference in a quote to lizards liking “cool” stone; as they are cold-blooded, it is the relative warmth of the stone that attracts them.",2019-12-01
" Climate crisis could lead to rise of smaller bees, study finds","Danger looms for larger species such as bumblebees, which have lower heat tolerance, leading to ‘cascading effects’ on ecosystems",['Agence France-Presse'],"The climate crisis could lead to more small-bodied bees but fewer bumblebees, according to research warning of potential “cascading” effects on plant pollination and across whole ecosystems.Scientists in the US trapped and studied more than 20,000 bees over eight years in an area of the Rocky Mountains to find out how different types reacted to changing climatic conditions.In research published on Wednesday in the journal Proceedings of the Royal Society B, the authors said that while environmental conditions varied from year to year, the sub-alpine region from which they took samples was “particularly vulnerable to climate change”, with generally warming spring temperatures and earlier snow melt.Fears for bees as US set to extend use of toxic pesticides that paralyse insectsRead moreThey found that larger-bodied bees and comb-building cavity nesters declined in abundance as temperatures increased, while smaller, soil-nesting bees increased.“Our research suggests that climate-induced changes in temperature, snowpack and summer precipitation may drastically reshape bee communities,” the authors said.Researchers said the findings suggested a reduction of bigger bees, including in the families of bumblebee, leafcutters and mason bees, with higher temperatures.Declines were particularly marked for bumblebees, which the researchers said suggested “this group is more threatened under climate warming than other bees in our system”. That tallies with other studies showing that bumblebees, the dominant pollinators in many ecosystems, have a lower heat tolerance than other bees and move to cooler regions at higher altitudes as temperatures warm.Researchers said their findings suggested both bumblebees’ body size and nest behaviour could also make them more vulnerable in a warming world.More broadly, the authors said climate-driven changes to pollinator communities “could have cascading effects on pollination and ecosystem functioning”. For example, they said losing bigger bees, which tend to fly further for food, may mean a reduction in longer-distance pollination.The study was specifically focused on mountainous areas, but the researchers said other research across the US showed declines in larger bees in response to environmental changes.Insects are the world’s top pollinators: 75% of 115 top global food crops depend on animal pollination, including cocoa, coffee, almonds and cherries, according to the UN.In a landmark 2019 report, scientists concluded that nearly half of all insect species worldwide are in decline and a third could disappear altogether by century’s end. One in six species of bees have gone regionally extinct somewhere in the world.The main drivers of extinction are thought to be habitat loss and pesticide use.",2022-04-21
 UK energy industry urges ministers to stick with net zero plan,"Some rightwingers claim renewables have increased costs, but Energy UK blames over-reliance on gas","['Fiona Harvey', '  Environment correspondent']","Energy companies want the government to implement policies to achieve net zero greenhouse gas emissions, the industry’s leader has said, despite claims from some on the political right that high energy prices should spark a rethink.Emma Pinchbeck, chief executive of Energy UK, which represents the industry, said: “The government should press on with net zero policies. That’s something they still need to do. We are missing the carbon budgets.”She called on ministers to “tighten energy efficiency”, by insulating more homes, and changing planning and construction rules, while developing a strategy for decarbonising the UK’s fleet of gas-fired power stations.She rejected claims that renewable energy had increased costs, saying the problem was clearly an over-reliance on gas, especially for heating. She told a meeting hosted by the Energy and Climate Intelligence Unit: “The UK is exposed to gas because we have a huge amount of gas burned in our homes, and so helping people get off gas boilers on to other forms of heating technology is critical over the next decades to reduce our reliance on places like Russia.”She added: “But [it’s also necessary] to make our building stock much more energy-efficient. The reason we have high rates of fuel poverty in the UK isn’t just about the commodity we burn, it’s the volume of it we burn because our energy efficiency rates here are much lower than other countries.”Britain’s leaky homes make the energy crisis worse. Why have governments not fixed them? | Max WakefieldRead moreHouseholds are facing an energy price cap rise this April, likely to amount to £2,000 for the average bill, and possibly a further rise to £2,400 in October. The cost-of-living crisis has embroiled the government in calls from its own backbenches to scale back or abandon measures to promote renewable energy and pay for home insulation for poor households, even though renewable energy is many times cheaper than gas and improving home insulation would cut bills for the most vulnerable.Bim Afolami, Conservative MP for Hitchin and Harpenden, called on his fellow Tories to get behind net zero policies, saying only “a very small number” of MPs were questioning them.“Let’s be clear, in terms of delivering net zero, there is no real option other than what the government has set out. It’s a shame that it needs saying, but everyone should rest assured that the bulk of the Conservative party and the government is four-square behind this, and committed to getting it done,” he said.Q&AWhat is net zero?ShowNet zero is the commitment to reducing emissions by 100% so that the UK is producing no more carbon than it removes from the atmosphere. This will have to be achieved by reducing the amount of greenhouse gases created by activities such as industrial processes, power generation, transport and intensive agriculture, while removing emissions at the same time by capturing carbon or planting more trees.It is considered the minimum necessary to stop dangerous climate breakdown increasing the world’s temperature by more than 1.5 degrees celsius. However, there is a debate about how to get there, and how quickly, and how the costs will be spread. The current UK government wants to meet net zero by 2050, which will necessarily involve replacing gas boilers, moving to electric cars, improving insulation and lowering high-carbon consumption such as flights and meat-eating.Was this helpful?Thank you for your feedback.Michael Grubb, professor of energy and climate change at University College London, said consumers were paying unnecessarily high prices for their electricity, as well as their gas, because of the way the UK energy market works. Electricity prices are set by the gas price, even though gas makes up only about 40% of electricity generation and renewable energy prices are far lower.He said the government could ease this by changing the way the UK energy market is structured, allowing for a “pool” of green energy contracts.Ministers should levy a windfall tax on fossil fuel producers, which have seen bumper profits from the global rise in gas prices and Russia’s constraint on European supplies, added Tessa Khan, founder of campaigning organisation Uplift. Taxes on fossil fuels in the UK were far too low, and tiny compared with those of other countries, at about $2 (£1.47) a barrel in the UK compared with more than $20 a barrel for Norway.Even at such low rates, thanks to favourable rules, some fossil fuels had received payouts from the government in recent years, rather than pay tax, she said. Oil and gas producers faced no extra costs but were reaping “windfall profits” from the gas price. “These profits are being privatised. The UK tax regime has made this the most profitable country in the world for oil and gas companies,” she said.",2022-01-20
The bear truth: why happy pandas can’t be bothered to find a partner,Researchers now think pandas’ notoriously low libido is because they are too comfortable to make the effort to search for a mate,,"Name: Panda sex.Age: 18m years old.Frequency: Famously rare.Yes, why is that? If I were a panda, I’d be at it all the time. I think from this we can determine two things: first that you are a pervert, and second that you are unhappy.Hey, I’m not unhappy! Maybe you have more in common with pandas than you thought. Researchers have posited that the notoriously low panda libido might be down to simple contentment.How so? Well, a study published in Conservation Biology has suggested that if pandas find the perfect habitat – in this instance a cool, moderately low-lying area rich with bamboo and far from humans – then they will just happily settle down and not go anywhere.Who can blame them? That sounds perfect. Well, the worry is that by staying in the same area, they aren’t going out to search for food or mates, which reduces their genetic diversity, which will eventually lead to their extinction.So you’re saying that pandas prefer comfortable solitude to sex? Yes.And it’s possible to be so comfortable that you might take down your entire species? Yes.Am … am I a panda? If you are, I have to commend your ability to type so accurately with your great big paws.Do scientists want to make pandas less comfortable? To some extent, yes. The researchers have found that the ideal level of comfort to keep the pandas alive is 80%.Why 80%? Because then they are comfortable enough to thrive, but there’s still enough dissatisfaction to make them leave home, bump into a sexy panda stranger and get it on.Great! Job sorted. Well, that’s only step one. Even if two pandas were to clap eyes on each other and instantly fall in love, it doesn’t mean that we would hear the pitter patter of tiny paws any time soon. Remember the story of Tian Tian?Tian Tian? Yes, one of the UK’s only two giant pandas, leased to Edinburgh zoo a decade ago by the Bifengxia breeding centre in Sichuan, China. The lease runs out in December, and Tian Tian has failed to give birth.Why? Sometimes it just doesn’t happen. She had cubs in China, only to endure a number of failed pregnancies – some initiated by artificial insemination – in Edinburgh. Things went further downhill when her partner, Yang Guang, had his testicles removed, after a tumour was discovered.God, that’s sad. Is it? Or is she just so happy that she has rejected sex as a concept?There’s a moral here, isn’t there? Yes. It’s that it’s OK if personal contentment is more important to you than romantic love. And also that pandas are seemingly determined to make themselves extinct.Do say: “Happy pandas don’t have sex.”Don’t say: “Quick, someone invent Panda Instagram to make them all feel ugly and insecure.”",2021-03-12
